ville,insee,ensoleillement_h
Marseille,13055,3743.0
Lyon,69055,3234.0
Paris,75055,2875.0
Toulouse,31555,3152.0
Nice,06088,3729.0
Nantes,44109,3095.0
Montpellier,34172,3500.0
Strasbourg,67482,3032.0
Bordeaux,33063,3113.0
Lille,59350,2782.0
Rennes,35238,2993.0
Toulon,83137,3740.0
Reims,51454,2885.0
Saint-Étienne,42218,
Le Havre,76351,3035.0
Villeurbanne,69266,3234.0
Dijon,21231,3018.0
Angers,49007,2996.0
Grenoble,38185,3194.0
Saint-Denis,974411,
Nîmes,30189,3527.0
Aix-en-Provence,13001,3703.0
Saint-Denis,93066,2892.0
Clermont-Ferrand,63113,3082.0
Le Mans,72181,2926.0
Brest,29019,2944.0
Tours,37261,2997.0
Amiens,80021,2849.0
Annecy,74010,3288.0
Limoges,87085,2918.0
Metz,57463,2879.0
Perpignan,66136,3491.0
Boulogne-Billancourt,92012,2901.0
Besançon,25056,2997.0
Rouen,76540,2889.0
Orléans,45234,2931.0
Montreuil,93048,2837.0
Caen,14118,3006.0
Saint-Paul,974415,
Argenteuil,95018,2892.0
Mulhouse,68224,3092.0
Nancy,54395,2837.0
Tourcoing,59599,2796.0
Roubaix,59512,2796.0
Nanterre,92050,2907.0
Vitry-sur-Seine,94081,2868.0
Asnières-sur-Seine,92004,
Créteil,94028,2860.0
Avignon,84007,3541.0
Colombes,92025,2875.0
Poitiers,86194,2964.0
Aubervilliers,93001,2837.0
Aulnay-sous-Bois,93005,2860.0
Dunkerque,59183,2967.0
Saint-Pierre,974416,
Versailles,78646,2926.0
Courbevoie,92026,2875.0
Rueil-Malmaison,92063,2907.0
Le Tampon,974422,
Béziers,34032,3500.0
Pau,64445,2941.0
La Rochelle,17300,3276.0
Cherbourg-en-Cotentin,50129,
Mérignac,33281,3142.0
Champigny-sur-Marne,94017,2895.0
Antibes,06004,3748.0
Saint-Maur-des-Fossés,94068,2868.0
Ajaccio,2A004,3706.0
Fort-de-France,972209,
Saint-Nazaire,44184,3159.0
Cannes,06029,3748.0
Noisy-le-Grand,93051,2895.0
Drancy,93029,2837.0
Cergy,95127,2906.0
Levallois-Perret,92044,2875.0
Issy-les-Moulineaux,92040,2901.0
Calais,62193,2930.0
Pessac,33318,3142.0
Colmar,68066,3092.0
Évry-Courcouronnes,91228,
Vénissieux,69259,3240.0
Ivry-sur-Seine,94041,2868.0
Valence,26362,3415.0
Clichy,92024,2875.0
Quimper,29232,2943.0
Antony,92002,2891.0
Bourges,18033,2911.0
La Seyne-sur-Mer,83126,3740.0
Montauban,82121,3129.0
Villeneuve-d'Ascq,59009,
Cayenne,973302,
Le Blanc-Mesnil,93007,2860.0
Troyes,10387,2962.0
Pantin,93055,2837.0
Villejuif,94076,2901.0
Chambéry,73065,3306.0
Niort,79191,3045.0
Fréjus,83061,3723.0
Neuilly-sur-Seine,92051,2875.0
Sarcelles,95585,2860.0
Saint-André,974409,
Clamart,92023,2901.0
Lorient,56121,3079.0
Narbonne,11262,3519.0
Bobigny,93008,2837.0
Meaux,77284,2831.0
Maisons-Alfort,94046,2868.0
Hyères,83069,3782.0
Vannes,56260,3141.0
Beauvais,60057,2845.0
Saint-Louis,974414,
La Roche-sur-Yon,85191,3093.0
Chelles,77108,2877.0
Corbeil-Essonnes,91174,
Saint-Laurent-du-Maroni,973311,
Cholet,49099,2984.0
Bayonne,64102,3177.0
Fontenay-sous-Bois,94033,2868.0
Saint-Ouen-sur-Seine,93070,
Cagnes-sur-Mer,06027,3729.0
Vaulx-en-Velin,69256,3205.0
Épinay-sur-Seine,93031,2892.0
Saint-Quentin,02691,2825.0
Sartrouville,78586,2922.0
Sevran,93071,2890.0
Arles,13004,3617.0
Massy,91377,2891.0
Albi,81004,3118.0
Les Abymes,971101,
Gennevilliers,92036,2892.0
Saint-Herblain,44162,3095.0
Grasse,06069,3726.0
Bondy,93010,2837.0
Les Sables-d'Olonne,85194,3247.0
Laval,53130,2939.0
Évreux,27229,2919.0
Saint-Priest,69290,3204.0
Suresnes,92073,2875.0
Martigues,13056,3703.0
Vincennes,94080,2868.0
Aubagne,13005,3712.0
Saint-Malo,35288,3045.0
Livry-Gargan,93046,2877.0
Blois,41018,2910.0
Rosny-sous-Bois,93064,2837.0
La Courneuve,93027,2860.0
Brive-la-Gaillarde,19031,3078.0
Bastia,2B033,3784.0
Talence,33522,3121.0
Meudon,92048,2901.0
Montrouge,92049,2901.0
Alès,30007,3449.0
Carcassonne,11069,3284.0
Melun,77288,2902.0
Choisy-le-Roi,94022,2860.0
Saint-Germain-en-Laye,78551,2907.0
Belfort,90010,3032.0
Charleville-Mézières,08105,
Alfortville,94002,2868.0
Noisy-le-Sec,93053,2837.0
Sète,34301,3532.0
Chalon-sur-Saône,71076,3087.0
Bagneux,92007,2901.0
Tarbes,65440,2943.0
Saint-Brieuc,22278,2954.0
Istres,13047,3663.0
Salon-de-Provence,13103,3656.0
Puteaux,92062,2875.0
Caluire-et-Cuire,69034,3234.0
Rezé,44143,3095.0
Mantes-la-Jolie,78361,
Valenciennes,59606,2789.0
Anglet,64024,3177.0
Bagnolet,93006,2837.0
Bron,69029,3204.0
Châlons-en-Champagne,51108,
Châteauroux,36044,2952.0
Arras,62041,2826.0
Thionville,57672,2849.0
Villenave-d'Ornon,33550,3146.0
Castres,81065,3037.0
Bourg-en-Bresse,01053,
Gagny,93032,2877.0
Le Cannet,06030,3748.0
Angoulême,16015,3087.0
Garges-lès-Gonesse,95268,2860.0
Villepinte,93078,2890.0
Stains,93072,2860.0
Gap,05061,3640.0
Poissy,78498,2869.0
Colomiers,31149,3127.0
Wattrelos,59650,2796.0
Draguignan,83050,3693.0
Compiègne,60159,2813.0
Montélimar,26198,3499.0
Boulogne-sur-Mer,62160,2979.0
Douai,59178,2849.0
Marcq-en-Barœul,59378,2782.0
Neuilly-sur-Marne,93050,2877.0
Le Lamentin,972213,
Saint-Joseph,974412,
Pontault-Combault,77373,2889.0
Saint-Benoît,974410,
La Ciotat,13028,3764.0
Joué-lès-Tours,37122,2964.0
Tremblay-en-France,93073,
Chartres,28085,2885.0
Oullins-Pierre-Bénite,69149,3240.0
Thonon-les-Bains,74281,3337.0
Franconville,95252,2892.0
Saint-Martin-d'Hères,38421,3194.0
Annemasse,74012,3325.0
Savigny-sur-Orge,91589,2855.0
Échirolles,38151,3194.0
Palaiseau,91477,2855.0
Romainville,93063,2837.0
Saint-Raphaël,83118,3705.0
Six-Fours-les-Plages,83129,
Sainte-Marie,974418,
Conflans-Sainte-Honorine,78172,2922.0
Vitrolles,13117,3706.0
Châtillon,92020,2901.0
Meyzieu,69282,3205.0
Athis-Mons,91027,2821.0
La Possession,974408,
Matoury,973307,
Bezons,95063,2922.0
Haguenau,67180,2982.0
Creil,60175,2864.0
Villeneuve-Saint-Georges,94078,2860.0
Villefranche-sur-Saône,69264,3243.0
Saint-Leu,974413,
Châtenay-Malabry,92019,2891.0
Saint-Chamond,42207,3247.0
Sainte-Geneviève-des-Bois,91549,2855.0
Roanne,42187,3169.0
Le Perreux-sur-Marne,94058,2868.0
Mâcon,71270,3115.0
Auxerre,89024,2949.0
Schiltigheim,67447,3012.0
Trappes,78621,2881.0
Les Mureaux,78440,2904.0
Houilles,78311,2922.0
Le Port,974407,
Marignane,13054,3731.0
Romans-sur-Isère,26281,3427.0
Villiers-sur-Marne,94079,2895.0
Montluçon,03185,2990.0
Nevers,58194,2945.0
Lens,62498,2839.0
Thiais,94073,2860.0
Saint-Médard-en-Jalles,33449,3131.0
Agen,47001,3075.0
Montigny-le-Bretonneux,78423,2881.0
Nogent-sur-Marne,94052,2868.0
Aix-les-Bains,73008,3247.0
Épinal,88160,2928.0
Saint-Laurent-du-Var,06123,3729.0
Pontoise,95500,2927.0
Bègles,33039,3121.0
Plaisir,78490,2895.0
Herblay-sur-Seine,95306,
Vienne,38544,3220.0
Carpentras,84031,3648.0
Mont-de-Marsan,40192,3067.0
Dreux,28134,2915.0
Vigneux-sur-Seine,91657,2821.0
Rillieux-la-Pape,69286,
Goussainville,95280,
Ris-Orangis,91521,
L' Haÿ-les-Roses,94038,2891.0
Saint-Martin,978801,
Savigny-le-Temple,77445,2902.0
Cambrai,59122,2820.0
Cachan,94016,2901.0
Châtellerault,86066,3005.0
Baie-Mahault,971103,
Viry-Châtillon,91687,2821.0
Le Chesnay-Rocquencourt,78158,2926.0
Menton,06083,3747.0
Chatou,78146,2907.0
Malakoff,92046,2901.0
La Garenne-Colombes,92035,2875.0
Tournefeuille,31557,3103.0
Bourgoin-Jallieu,38053,
Draveil,91201,
Liévin,62510,2854.0
Villiers-le-Bel,95680,2867.0
Vandœuvre-lès-Nancy,54547,2837.0
Agde,34003,3565.0
Décines-Charpieu,69275,3205.0
Saint-Cloud,92064,2926.0
Villemomble,93077,2837.0
Guyancourt,78297,2913.0
Orange,84087,3542.0
Fresnes,94034,2891.0
Saint-Étienne-du-Rouvray,76575,2869.0
Ermont,95219,2892.0
Clichy-sous-Bois,93014,2877.0
Vallauris,06155,3748.0
Périgueux,24322,3086.0
Sotteville-lès-Rouen,76681,2869.0
Bois-Colombes,92009,2875.0
Le Plessis-Robinson,92060,2891.0
Charenton-le-Pont,94018,2868.0
Maubeuge,59392,2726.0
Montfermeil,93047,2877.0
Vanves,92075,2901.0
Saint-Sébastien-sur-Loire,44190,3056.0
Orvault,44114,3074.0
Dieppe,76217,2960.0
Soissons,02722,2798.0
Yerres,91691,2821.0
Illkirch-Graffenstaden,67218,3032.0
Sucy-en-Brie,94071,2889.0
Le Gosier,971113,
Rambouillet,78517,2858.0
Remire-Montjoly,973309,
Gonesse,95277,2860.0
Blagnac,31069,3127.0
Taverny,95607,2898.0
La Teste-de-Buch,33529,
Bussy-Saint-Georges,77058,2875.0
Champs-sur-Marne,77083,
Limeil-Brévannes,94044,2860.0
Cormeilles-en-Parisis,95176,2922.0
Bergerac,24037,3042.0
Sens,89387,2888.0
Lambersart,59328,2782.0
Armentières,59017,2815.0
Gradignan,33192,3146.0
Villeparisis,77514,2890.0
Sannois,95582,2892.0
Étampes,91223,
Grigny,91286,2821.0
Cenon,33119,3113.0
Brétigny-sur-Orge,91103,
Lunel,34145,3531.0
La Garde,83062,3749.0
Élancourt,78208,2881.0
Saumur,49328,3011.0
Vertou,44215,3036.0
Aurillac,15014,3108.0
Eaubonne,95203,2892.0
Biarritz,64122,3177.0
Miramas,13063,3663.0
Muret,31395,3102.0
Castelnau-le-Lez,34057,3529.0
Villeneuve-la-Garenne,92078,2892.0
Les Ulis,91692,2884.0
Les Pavillons-sous-Bois,93057,2837.0
Sèvremoine,49301,3047.0
Le Grand-Quevilly,76322,2869.0
Lormont,33249,3113.0
Hénin-Beaumont,62427,
Brunoy,91114,
Cavaillon,84035,3639.0
Saint-Ouen-l'Aumône,95572,2927.0
Sainte-Suzanne,974420,
Alençon,61001,2888.0
Saintes,17415,3164.0
Vernon,27681,2870.0
Béthune,62119,2849.0
Vichy,03310,3105.0
Le Bouscat,33069,3113.0
Vierzon,18279,2967.0
Libourne,33243,3111.0
Eysines,33162,3131.0
Kourou,973304,
Montbéliard,25388,3027.0
Petit-Bourg,971118,
Orly,94054,2860.0
Laon,02408,2825.0
Frontignan,34108,3527.0
Le Kremlin-Bicêtre,94043,2901.0
Couëron,44047,3090.0
Fontenay-aux-Roses,92032,2901.0
Montgeron,91421,2821.0
Beaupréau-en-Mauges,49023,3036.0
Rodez,12202,3116.0
Sainte-Anne,971128,
Les Lilas,93045,2837.0
Dole,39198,3022.0
La Valette-du-Var,83144,3749.0
Dammarie-les-Lys,77152,2917.0
Olivet,45232,2912.0
Hérouville-Saint-Clair,14327,
Rochefort,17299,3225.0
Combs-la-Ville,77122,2870.0
Lanester,56098,2991.0
Roissy-en-Brie,77390,
Tassin-la-Demi-Lune,69244,3270.0
Saint-Jean-de-Braye,45284,2931.0
Deuil-la-Barre,95197,2892.0
Maisons-Laffitte,78358,2922.0
Le Moule,971117,
Vélizy-Villacoublay,78640,2913.0
Challans,85047,3153.0
Saint-Dizier,52448,2902.0
Torcy,77468,2895.0
Saint-Louis,68297,3027.0
Manosque,04112,3679.0
Loos,59360,2806.0
Gif-sur-Yvette,91272,2884.0
Les Pennes-Mirabeau,13071,3732.0
Oyonnax,01283,3186.0
Montigny-lès-Cormeilles,95424,2922.0
Auch,32013,3089.0
Abbeville,80001,2863.0
Villeneuve-sur-Lot,47323,3127.0
Mantes-la-Ville,78362,2929.0
Sèvres,92072,2926.0
Montereau-Fault-Yonne,77305,
Achères,78005,2922.0
Le Petit-Quevilly,76498,2889.0
Arcueil,94003,2901.0
Épernay,51230,2880.0
Gujan-Mestras,33199,3297.0
Dax,40088,3119.0
Millau,12145,3200.0
Fontaine,38169,3274.0
Chemillé-en-Anjou,49092,
Longjumeau,91345,2855.0
Neuilly-Plaisance,93049,2837.0
Hazebrouck,59295,2792.0
Nogent-sur-Oise,60463,2864.0
Voiron,38563,3301.0
Fleury-les-Aubrais,45147,2931.0
La Madeleine,59368,2782.0
Saint-Michel-sur-Orge,91570,2887.0
Montmorency,95428,2892.0
Montigny-lès-Metz,57480,2879.0
Sainte-Foy-lès-Lyon,69202,3240.0
Morsang-sur-Orge,91434,2821.0
Mandelieu-la-Napoule,06079,
Gardanne,13041,3703.0
Le Robert,972222,
Lagny-sur-Marne,77243,
Allauch,13002,3715.0
Bruay-la-Buissière,62178,
Givors,69091,3267.0
Saint-Gratien,95555,2892.0
Saint-Cyr-l'École,78545,2926.0
Ozoir-la-Ferrière,77350,2872.0
Saint-Genis-Laval,69204,3269.0
Montaigu-Vendée,85146,3050.0
Le Plessis-Trévise,94059,2895.0
Mons-en-Barœul,59410,2782.0
Plaisance-du-Touch,31424,3096.0
Saint-Mandé,94067,2868.0
Bourg-la-Reine,92014,2891.0
Villeneuve-le-Roi,94077,2860.0
Carquefou,44026,3035.0
Sceaux,92071,2891.0
Concarneau,29039,3104.0
Chaumont,52121,2897.0
Lingolsheim,67267,3032.0
Carrières-sous-Poissy,78123,2895.0
Coudekerque-Branche,59155,2929.0
Wasquehal,59646,2810.0
Halluin,59279,2821.0
La Chapelle-sur-Erdre,44035,3074.0
Denain,59172,2838.0
Cugnaux,31157,3103.0
Maurepas,78383,2881.0
Chaville,92022,2926.0
Croix,59163,2810.0
Bouguenais,44020,3095.0
Joinville-le-Pont,94042,2868.0
Le Creusot,71153,3059.0
Forbach,57227,
La Celle-Saint-Cloud,78126,
Mitry-Mory,77294,
Chilly-Mazarin,91161,
Beaune,21054,
Lannion,22113,
Fougères,35115,
L' Isle-sur-la-Sorgue,84054,
Grande-Synthe,59271,
Mont-Saint-Aignan,76451,
Sarreguemines,57631,
Cahors,46042,
Bruges,33075,
